V	C
2.76	8.3071e-12
2.77	8.26794e-12
2.78	8.22899e-12
2.79	8.19024e-12
2.8	8.1517e-12
2.81	8.11337e-12
2.82	8.07523e-12
2.83	8.0373e-12
2.84	7.99956e-12
2.85	7.96202e-12
2.86	7.92468e-12
2.87	7.88754e-12
2.88	7.85059e-12
2.89	7.81384e-12
2.9	7.77727e-12
2.91	7.7409e-12
2.92	7.70472e-12
2.93	7.66873e-12
2.94	7.63293e-12
2.95	7.59732e-12
2.96	7.56189e-12
2.97	7.52664e-12
2.98	7.49158e-12
2.99	7.45671e-12
3	7.42201e-12
3.01	7.3875e-12
3.02	7.35316e-12
3.03	7.31901e-12
3.04	7.28503e-12
3.05	7.25123e-12
3.06	7.2176e-12
3.07	7.18415e-12
3.08	7.15087e-12
3.09	7.11777e-12
3.1	7.08483e-12
3.11	7.05207e-12
3.12	7.01948e-12
3.13	6.98705e-12
3.14	6.9548e-12
3.15	6.92271e-12
3.16	6.89078e-12
3.17	6.85902e-12
3.18	6.82743e-12
3.19	6.796e-12
3.2	6.76473e-12
3.21	6.73362e-12
3.22	6.70267e-12
3.23	6.67188e-12
3.24	6.64125e-12
3.25	6.61078e-12
3.26	6.58046e-12
3.27	6.5503e-12
3.28	6.52029e-12
3.29	6.49044e-12
3.3	6.46074e-12
3.31	6.43119e-12
3.32	6.4018e-12
3.33	6.37255e-12
3.34	6.34346e-12
3.35	6.31451e-12
3.36	6.28571e-12
3.37	6.25706e-12
3.38	6.22856e-12
3.39	6.2002e-12
3.4	6.17198e-12
3.41	6.14391e-12
3.42	6.11598e-12
3.43	6.0882e-12
3.44	6.06055e-12
3.45	6.03305e-12
3.46	6.00569e-12
3.47	5.97846e-12
3.48	5.95138e-12
3.49	5.92443e-12
3.5	5.89761e-12
3.51	5.87094e-12
3.52	5.8444e-12
3.53	5.81799e-12
3.54	5.79172e-12
3.55	5.76558e-12
3.56	5.73957e-12
3.57	5.71369e-12
3.58	5.68795e-12
3.59	5.66233e-12
3.6	5.63684e-12
3.61	5.61148e-12
3.62	5.58625e-12
3.63	5.56115e-12
3.64	5.53617e-12
3.65	5.51132e-12
3.66	5.4866e-12
3.67	5.462e-12
3.68	5.43752e-12
3.69	5.41316e-12
3.7	5.38893e-12
3.71	5.36482e-12
3.72	5.34083e-12
3.73	5.31696e-12
3.74	5.29321e-12
3.75	5.26957e-12
3.76	5.24606e-12
3.77	5.22267e-12
3.78	5.19939e-12
3.79	5.17622e-12
3.8	5.15318e-12
3.81	5.13024e-12
3.82	5.10743e-12
3.83	5.08472e-12
3.84	5.06213e-12
3.85	5.03965e-12
3.86	5.01729e-12
3.87	4.99503e-12
3.88	4.97289e-12
3.89	4.95085e-12
3.9	4.92893e-12
3.91	4.90711e-12
3.92	4.8854e-12
3.93	4.8638e-12
3.94	4.84231e-12
3.95	4.82092e-12
3.96	4.79964e-12
3.97	4.77846e-12
3.98	4.75739e-12
3.99	4.73642e-12
4	4.71556e-12
4.01	4.6948e-12
4.02	4.67414e-12
4.03	4.65359e-12
4.04	4.63313e-12
4.05	4.61278e-12
4.06	4.59252e-12
4.07	4.57237e-12
4.08	4.55231e-12
4.09	4.53236e-12
4.1	4.5125e-12
4.11	4.49274e-12
4.12	4.47307e-12
4.13	4.45351e-12
4.14	4.43404e-12
4.15	4.41466e-12
4.16	4.39538e-12
4.17	4.37619e-12
4.18	4.3571e-12
4.19	4.3381e-12
4.2	4.31919e-12
4.21	4.30038e-12
4.22	4.28166e-12
4.23	4.26303e-12
4.24	4.24449e-12
4.25	4.22604e-12
4.26	4.20768e-12
4.27	4.18941e-12
4.28	4.17123e-12
4.29	4.15313e-12
4.3	4.13513e-12
4.31	4.11721e-12
4.32	4.09938e-12
4.33	4.08164e-12
4.34	4.06398e-12
4.35	4.04641e-12
4.36	4.02892e-12
4.37	4.01152e-12
4.38	3.9942e-12
4.39	3.97697e-12
4.4	3.95982e-12
4.41	3.94275e-12
4.42	3.92577e-12
4.43	3.90886e-12
4.44	3.89204e-12
4.45	3.8753e-12
4.46	3.85864e-12
4.47	3.84206e-12
4.48	3.82557e-12
4.49	3.80915e-12
4.5	3.7928e-12
4.51	3.77654e-12
4.52	3.76036e-12
4.53	3.74425e-12
4.54	3.72822e-12
4.55	3.71227e-12
4.56	3.6964e-12
4.57	3.6806e-12
4.58	3.66487e-12
4.59	3.64923e-12
4.6	3.63365e-12
4.61	3.61816e-12
4.62	3.60273e-12
4.63	3.58738e-12
4.64	3.5721e-12
4.65	3.5569e-12
4.66	3.54177e-12
4.67	3.52671e-12
4.68	3.51172e-12
4.69	3.4968e-12
4.7	3.48196e-12
4.71	3.46718e-12
4.72	3.45248e-12
4.73	3.43785e-12
4.74	3.42328e-12
4.75	3.40879e-12
4.76	3.39436e-12
4.77	3.38e-12
4.78	3.36571e-12
4.79	3.35149e-12
4.8	3.33734e-12
4.81	3.32325e-12
4.82	3.30923e-12
4.83	3.29527e-12
4.84	3.28138e-12
4.85	3.26756e-12
4.86	3.2538e-12
4.87	3.24011e-12
4.88	3.22648e-12
4.89	3.21292e-12
4.9	3.19942e-12
4.91	3.18598e-12
4.92	3.17261e-12
4.93	3.1593e-12
4.94	3.14606e-12
4.95	3.13287e-12
4.96	3.11975e-12
4.97	3.10669e-12
4.98	3.09369e-12
4.99	3.08075e-12
5	3.06787e-12
5.01	3.05505e-12
5.02	3.0423e-12
5.03	3.0296e-12
5.04	3.01696e-12
5.05	3.00438e-12
5.06	2.99186e-12
5.07	2.9794e-12
5.08	2.967e-12
5.09	2.95465e-12
5.1	2.94237e-12
5.11	2.93014e-12
5.12	2.91796e-12
5.13	2.90585e-12
5.14	2.89379e-12
5.15	2.88178e-12
5.16	2.86983e-12
5.17	2.85794e-12
5.18	2.84611e-12
5.19	2.83432e-12
5.2	2.8226e-12
5.21	2.81092e-12
5.22	2.79931e-12
5.23	2.78774e-12
5.24	2.77623e-12
5.25	2.76477e-12
5.26	2.75337e-12
5.27	2.74202e-12
5.28	2.73072e-12
5.29	2.71947e-12
5.3	2.70828e-12
5.31	2.69713e-12
5.32	2.68604e-12
5.33	2.675e-12
5.34	2.66401e-12
5.35	2.65307e-12
5.36	2.64218e-12
5.37	2.63135e-12
5.38	2.62056e-12
5.39	2.60982e-12
5.4	2.59913e-12
5.41	2.58849e-12
5.42	2.5779e-12
5.43	2.56736e-12
5.44	2.55686e-12
5.45	2.54642e-12
5.46	2.53602e-12
5.47	2.52567e-12
5.48	2.51537e-12
5.49	2.50511e-12
5.5	2.4949e-12
5.51	2.48474e-12
5.52	2.47463e-12
5.53	2.46456e-12
5.54	2.45453e-12
5.55	2.44456e-12
5.56	2.43462e-12
5.57	2.42474e-12
5.58	2.4149e-12
5.59	2.4051e-12
5.6	2.39535e-12
5.61	2.38564e-12
5.62	2.37598e-12
5.63	2.36636e-12
5.64	2.35678e-12
5.65	2.34725e-12
5.66	2.33776e-12
5.67	2.32832e-12
5.68	2.31891e-12
5.69	2.30955e-12
5.7	2.30024e-12
5.71	2.29096e-12
5.72	2.28173e-12
5.73	2.27254e-12
5.74	2.26339e-12
5.75	2.25428e-12
5.76	2.24521e-12
5.77	2.23618e-12
5.78	2.2272e-12
5.79	2.21825e-12
5.8	2.20935e-12
5.81	2.20048e-12
5.82	2.19166e-12
5.83	2.18287e-12
5.84	2.17413e-12
5.85	2.16542e-12
5.86	2.15676e-12
5.87	2.14813e-12
5.88	2.13954e-12
5.89	2.13099e-12
5.9	2.12248e-12
5.91	2.11401e-12
5.92	2.10557e-12
5.93	2.09717e-12
5.94	2.08882e-12
5.95	2.0805e-12
5.96	2.07222e-12
5.97	2.064e-12
5.98	2.05584e-12
5.99	2.04778e-12
6	2.0399e-12
