V	C
0	5.53301e-11
0.001	5.53105e-11
0.002	5.52908e-11
0.003	5.52712e-11
0.004	5.52517e-11
0.005	5.52321e-11
0.006	5.52125e-11
0.007	5.5193e-11
0.008	5.51734e-11
0.009	5.51539e-11
0.01	5.51343e-11
0.011	5.51148e-11
0.012	5.50953e-11
0.013	5.50758e-11
0.014	5.50564e-11
0.015	5.50369e-11
0.016	5.50174e-11
0.017	5.4998e-11
0.018	5.49786e-11
0.019	5.49591e-11
0.02	5.49397e-11
0.021	5.49203e-11
0.022	5.49009e-11
0.023	5.48816e-11
0.024	5.48622e-11
0.025	5.48428e-11
0.026	5.48235e-11
0.027	5.48042e-11
0.028	5.47848e-11
0.029	5.47655e-11
0.03	5.47462e-11
0.031	5.47269e-11
0.032	5.47077e-11
0.033	5.46884e-11
0.034	5.46691e-11
0.035	5.46499e-11
0.036	5.46307e-11
0.037	5.46114e-11
0.038	5.45922e-11
0.039	5.4573e-11
0.04	5.45538e-11
0.041	5.45347e-11
0.042	5.45155e-11
0.043	5.44963e-11
0.044	5.44772e-11
0.045	5.4458e-11
0.046	5.44389e-11
0.047	5.44198e-11
0.048	5.44007e-11
0.049	5.43816e-11
0.05	5.43625e-11
0.051	5.43435e-11
0.052	5.43244e-11
0.053	5.43054e-11
0.054	5.42863e-11
0.055	5.42673e-11
0.056	5.42483e-11
0.057	5.42293e-11
0.058	5.42103e-11
0.059	5.41913e-11
0.06	5.41723e-11
0.061	5.41534e-11
0.062	5.41344e-11
0.063	5.41155e-11
0.064	5.40965e-11
0.065	5.40776e-11
0.066	5.40587e-11
0.067	5.40398e-11
0.068	5.40209e-11
0.069	5.40021e-11
0.07	5.39832e-11
0.071	5.39643e-11
0.072	5.39455e-11
0.073	5.39267e-11
0.074	5.39078e-11
0.075	5.3889e-11
0.076	5.38702e-11
0.077	5.38514e-11
0.078	5.38327e-11
0.079	5.38139e-11
0.08	5.37951e-11
0.081	5.37764e-11
0.082	5.37576e-11
0.083	5.37389e-11
0.084	5.37202e-11
0.085	5.37015e-11
0.086	5.36828e-11
0.087	5.36641e-11
0.088	5.36454e-11
0.089	5.36268e-11
0.09	5.36081e-11
0.091	5.35895e-11
0.092	5.35709e-11
0.093	5.35522e-11
0.094	5.35336e-11
0.095	5.3515e-11
0.096	5.34964e-11
0.097	5.34779e-11
0.098	5.34593e-11
0.099	5.34407e-11
0.1	5.34222e-11
0.101	5.34036e-11
0.102	5.33851e-11
0.103	5.33666e-11
0.104	5.33481e-11
0.105	5.33296e-11
0.106	5.33111e-11
0.107	5.32926e-11
0.108	5.32742e-11
0.109	5.32557e-11
0.11	5.32373e-11
0.111	5.32188e-11
0.112	5.32004e-11
0.113	5.3182e-11
0.114	5.31636e-11
0.115	5.31452e-11
0.116	5.31268e-11
0.117	5.31085e-11
0.118	5.30901e-11
0.119	5.30718e-11
0.12	5.30534e-11
0.121	5.30351e-11
0.122	5.30168e-11
0.123	5.29985e-11
0.124	5.29802e-11
0.125	5.29619e-11
0.126	5.29436e-11
0.127	5.29253e-11
0.128	5.29071e-11
0.129	5.28888e-11
0.13	5.28706e-11
0.131	5.28523e-11
0.132	5.28341e-11
0.133	5.28159e-11
0.134	5.27977e-11
0.135	5.27795e-11
0.136	5.27614e-11
0.137	5.27432e-11
0.138	5.2725e-11
0.139	5.27069e-11
0.14	5.26888e-11
0.141	5.26706e-11
0.142	5.26525e-11
0.143	5.26344e-11
0.144	5.26163e-11
0.145	5.25982e-11
0.146	5.25802e-11
0.147	5.25621e-11
0.148	5.2544e-11
0.149	5.2526e-11
0.15	5.2508e-11
0.151	5.24899e-11
0.152	5.24719e-11
0.153	5.24539e-11
0.154	5.24359e-11
0.155	5.24179e-11
0.156	5.24e-11
0.157	5.2382e-11
0.158	5.2364e-11
0.159	5.23461e-11
0.16	5.23282e-11
0.161	5.23102e-11
0.162	5.22923e-11
0.163	5.22744e-11
0.164	5.22565e-11
0.165	5.22386e-11
0.166	5.22208e-11
0.167	5.22029e-11
0.168	5.21851e-11
0.169	5.21672e-11
0.17	5.21494e-11
0.171	5.21315e-11
0.172	5.21137e-11
0.173	5.20959e-11
0.174	5.20781e-11
0.175	5.20603e-11
0.176	5.20426e-11
0.177	5.20248e-11
0.178	5.2007e-11
0.179	5.19893e-11
0.18	5.19716e-11
0.181	5.19538e-11
0.182	5.19361e-11
0.183	5.19184e-11
0.184	5.19007e-11
0.185	5.1883e-11
0.186	5.18654e-11
0.187	5.18477e-11
0.188	5.183e-11
0.189	5.18124e-11
0.19	5.17947e-11
0.191	5.17771e-11
0.192	5.17595e-11
0.193	5.17419e-11
0.194	5.17243e-11
0.195	5.17067e-11
0.196	5.16891e-11
0.197	5.16715e-11
0.198	5.1654e-11
0.199	5.16364e-11
0.2	5.16189e-11
0.201	5.16014e-11
0.202	5.15838e-11
0.203	5.15663e-11
0.204	5.15488e-11
0.205	5.15313e-11
0.206	5.15139e-11
0.207	5.14964e-11
0.208	5.14789e-11
0.209	5.14615e-11
0.21	5.1444e-11
0.211	5.14266e-11
0.212	5.14092e-11
0.213	5.13917e-11
0.214	5.13743e-11
0.215	5.13569e-11
0.216	5.13395e-11
0.217	5.13222e-11
0.218	5.13048e-11
0.219	5.12874e-11
0.22	5.12701e-11
0.221	5.12528e-11
0.222	5.12354e-11
0.223	5.12181e-11
0.224	5.12008e-11
0.225	5.11835e-11
0.226	5.11662e-11
0.227	5.11489e-11
0.228	5.11317e-11
0.229	5.11144e-11
0.23	5.10971e-11
0.231	5.10799e-11
0.232	5.10627e-11
0.233	5.10454e-11
0.234	5.10282e-11
0.235	5.1011e-11
0.236	5.09938e-11
0.237	5.09766e-11
0.238	5.09594e-11
0.239	5.09423e-11
0.24	5.09251e-11
0.241	5.0908e-11
0.242	5.08908e-11
0.243	5.08737e-11
0.244	5.08566e-11
0.245	5.08395e-11
0.246	5.08224e-11
0.247	5.08053e-11
0.248	5.07882e-11
0.249	5.07711e-11
0.25	5.0754e-11
0.251	5.0737e-11
0.252	5.07199e-11
0.253	5.07029e-11
0.254	5.06859e-11
0.255	5.06688e-11
0.256	5.06518e-11
0.257	5.06348e-11
0.258	5.06178e-11
0.259	5.06009e-11
0.26	5.05839e-11
0.261	5.05669e-11
0.262	5.055e-11
0.263	5.0533e-11
0.264	5.05161e-11
0.265	5.04992e-11
0.266	5.04822e-11
0.267	5.04653e-11
0.268	5.04484e-11
0.269	5.04315e-11
0.27	5.04147e-11
0.271	5.03978e-11
0.272	5.03809e-11
0.273	5.03641e-11
0.274	5.03472e-11
0.275	5.03304e-11
0.276	5.03136e-11
0.277	5.02967e-11
0.278	5.02799e-11
0.279	5.02631e-11
0.28	5.02464e-11
0.281	5.02296e-11
0.282	5.02128e-11
0.283	5.0196e-11
0.284	5.01793e-11
0.285	5.01625e-11
0.286	5.01458e-11
0.287	5.01291e-11
0.288	5.01124e-11
0.289	5.00957e-11
0.29	5.0079e-11
0.291	5.00623e-11
0.292	5.00456e-11
0.293	5.00289e-11
0.294	5.00122e-11
0.295	4.99956e-11
0.296	4.9979e-11
0.297	4.99623e-11
0.298	4.99457e-11
0.299	4.99291e-11
0.3	4.99125e-11
0.301	4.98959e-11
0.302	4.98793e-11
0.303	4.98627e-11
0.304	4.98461e-11
0.305	4.98296e-11
0.306	4.9813e-11
0.307	4.97965e-11
0.308	4.97799e-11
0.309	4.97634e-11
0.31	4.97469e-11
0.311	4.97304e-11
0.312	4.97139e-11
0.313	4.96974e-11
0.314	4.96809e-11
0.315	4.96644e-11
0.316	4.96479e-11
0.317	4.96315e-11
0.318	4.9615e-11
0.319	4.95986e-11
0.32	4.95822e-11
0.321	4.95658e-11
0.322	4.95493e-11
0.323	4.95329e-11
0.324	4.95165e-11
0.325	4.95001e-11
0.326	4.94838e-11
0.327	4.94674e-11
0.328	4.94511e-11
0.329	4.94347e-11
0.33	4.94184e-11
0.331	4.9402e-11
0.332	4.93857e-11
0.333	4.93694e-11
0.334	4.93531e-11
0.335	4.93368e-11
0.336	4.93205e-11
0.337	4.93042e-11
0.338	4.92879e-11
0.339	4.92717e-11
0.34	4.92554e-11
0.341	4.92392e-11
0.342	4.92229e-11
0.343	4.92067e-11
0.344	4.91905e-11
0.345	4.91743e-11
0.346	4.91581e-11
0.347	4.91419e-11
0.348	4.91257e-11
0.349	4.91095e-11
0.35	4.90933e-11
0.351	4.90772e-11
0.352	4.9061e-11
0.353	4.90449e-11
0.354	4.90288e-11
0.355	4.90126e-11
0.356	4.89965e-11
0.357	4.89804e-11
0.358	4.89643e-11
0.359	4.89482e-11
0.36	4.89321e-11
0.361	4.89161e-11
0.362	4.89e-11
0.363	4.88839e-11
0.364	4.88679e-11
0.365	4.88519e-11
0.366	4.88358e-11
0.367	4.88198e-11
0.368	4.88038e-11
0.369	4.87878e-11
0.37	4.87718e-11
0.371	4.87558e-11
0.372	4.87398e-11
0.373	4.87239e-11
0.374	4.87079e-11
0.375	4.86919e-11
0.376	4.8676e-11
0.377	4.86601e-11
0.378	4.86441e-11
0.379	4.86282e-11
0.38	4.86123e-11
0.381	4.85964e-11
0.382	4.85805e-11
0.383	4.85646e-11
0.384	4.85487e-11
0.385	4.85329e-11
0.386	4.8517e-11
0.387	4.85012e-11
0.388	4.84853e-11
0.389	4.84695e-11
0.39	4.84537e-11
0.391	4.84378e-11
0.392	4.8422e-11
0.393	4.84062e-11
0.394	4.83904e-11
0.395	4.83746e-11
0.396	4.83589e-11
0.397	4.83431e-11
0.398	4.83273e-11
0.399	4.83116e-11
0.4	4.82958e-11
0.401	4.82801e-11
0.402	4.82644e-11
0.403	4.82487e-11
0.404	4.82329e-11
0.405	4.82173e-11
0.406	4.82016e-11
0.407	4.81859e-11
0.408	4.81702e-11
0.409	4.81545e-11
0.41	4.81389e-11
0.411	4.81232e-11
0.412	4.81076e-11
0.413	4.80919e-11
0.414	4.80763e-11
0.415	4.80607e-11
0.416	4.80451e-11
0.417	4.80295e-11
0.418	4.80139e-11
0.419	4.79983e-11
0.42	4.79827e-11
0.421	4.79672e-11
0.422	4.79516e-11
0.423	4.7936e-11
0.424	4.79205e-11
0.425	4.7905e-11
0.426	4.78894e-11
0.427	4.78739e-11
0.428	4.78584e-11
0.429	4.78429e-11
0.43	4.78274e-11
0.431	4.78119e-11
0.432	4.77964e-11
0.433	4.7781e-11
0.434	4.77655e-11
0.435	4.775e-11
0.436	4.77346e-11
0.437	4.77191e-11
0.438	4.77037e-11
0.439	4.76883e-11
0.44	4.76729e-11
0.441	4.76575e-11
0.442	4.76421e-11
0.443	4.76267e-11
0.444	4.76113e-11
0.445	4.75959e-11
0.446	4.75806e-11
0.447	4.75652e-11
0.448	4.75499e-11
0.449	4.75345e-11
0.45	4.75192e-11
0.451	4.75039e-11
0.452	4.74885e-11
0.453	4.74732e-11
0.454	4.74579e-11
0.455	4.74426e-11
0.456	4.74273e-11
0.457	4.74121e-11
0.458	4.73968e-11
0.459	4.73815e-11
0.46	4.73663e-11
0.461	4.7351e-11
0.462	4.73358e-11
0.463	4.73206e-11
0.464	4.73053e-11
0.465	4.72901e-11
0.466	4.72749e-11
0.467	4.72597e-11
0.468	4.72445e-11
0.469	4.72293e-11
0.47	4.72142e-11
0.471	4.7199e-11
0.472	4.71839e-11
0.473	4.71687e-11
0.474	4.71536e-11
0.475	4.71384e-11
0.476	4.71233e-11
0.477	4.71082e-11
0.478	4.70931e-11
0.479	4.7078e-11
0.48	4.70629e-11
0.481	4.70478e-11
0.482	4.70327e-11
0.483	4.70176e-11
0.484	4.70026e-11
0.485	4.69875e-11
0.486	4.69725e-11
0.487	4.69574e-11
0.488	4.69424e-11
0.489	4.69274e-11
0.49	4.69123e-11
0.491	4.68973e-11
0.492	4.68823e-11
0.493	4.68674e-11
0.494	4.68524e-11
0.495	4.68374e-11
0.496	4.68224e-11
0.497	4.68075e-11
0.498	4.67925e-11
0.499	4.67776e-11
0.5	4.67626e-11
0.501	4.67477e-11
0.502	4.67328e-11
0.503	4.67178e-11
0.504	4.67029e-11
0.505	4.6688e-11
0.506	4.66731e-11
0.507	4.66583e-11
0.508	4.66434e-11
0.509	4.66285e-11
0.51	4.66136e-11
0.511	4.65988e-11
0.512	4.65839e-11
0.513	4.65691e-11
0.514	4.65543e-11
0.515	4.65395e-11
0.516	4.65246e-11
0.517	4.65098e-11
0.518	4.6495e-11
0.519	4.64802e-11
0.52	4.64654e-11
0.521	4.64507e-11
0.522	4.64359e-11
0.523	4.64211e-11
0.524	4.64064e-11
0.525	4.63916e-11
0.526	4.63769e-11
0.527	4.63622e-11
0.528	4.63474e-11
0.529	4.63327e-11
0.53	4.6318e-11
0.531	4.63033e-11
0.532	4.62886e-11
0.533	4.62739e-11
0.534	4.62593e-11
