V	C
2.67	8.18978e-12
2.68	8.14933e-12
2.69	8.10959e-12
2.7	8.07e-12
2.71	8.03029e-12
2.72	7.99105e-12
2.73	7.95199e-12
2.74	7.91323e-12
2.75	7.87464e-12
2.76	7.83615e-12
2.77	7.79787e-12
2.78	7.76006e-12
2.79	7.72232e-12
2.8	7.68502e-12
2.81	7.64752e-12
2.82	7.61024e-12
2.83	7.57357e-12
2.84	7.53674e-12
2.85	7.50028e-12
2.86	7.46387e-12
2.87	7.42783e-12
2.88	7.39196e-12
2.89	7.35631e-12
2.9	7.32076e-12
2.91	7.28578e-12
2.92	7.25059e-12
2.93	7.21563e-12
2.94	7.18117e-12
2.95	7.1465e-12
2.96	7.11222e-12
2.97	7.07802e-12
2.98	7.044e-12
2.99	7.01047e-12
3	6.97676e-12
3.01	6.94345e-12
3.02	6.91025e-12
3.03	6.87736e-12
3.04	6.84453e-12
3.05	6.81209e-12
3.06	6.77961e-12
3.07	6.7472e-12
3.08	6.71517e-12
3.09	6.68335e-12
3.1	6.65147e-12
3.11	6.61999e-12
3.12	6.58858e-12
3.13	6.55742e-12
3.14	6.5265e-12
3.15	6.49544e-12
3.16	6.46474e-12
3.17	6.43423e-12
3.18	6.40382e-12
3.19	6.37366e-12
3.2	6.34366e-12
3.21	6.31398e-12
3.22	6.28407e-12
3.23	6.25441e-12
3.24	6.22523e-12
3.25	6.19605e-12
3.26	6.16703e-12
3.27	6.13807e-12
3.28	6.1093e-12
3.29	6.08058e-12
3.3	6.05218e-12
3.31	6.0239e-12
3.32	5.99598e-12
3.33	5.96804e-12
3.34	5.94004e-12
3.35	5.91238e-12
3.36	5.88487e-12
3.37	5.85756e-12
3.38	5.83028e-12
3.39	5.80329e-12
3.4	5.77644e-12
3.41	5.7495e-12
3.42	5.72301e-12
3.43	5.69638e-12
3.44	5.67011e-12
3.45	5.64384e-12
3.46	5.6178e-12
3.47	5.59179e-12
3.48	5.56593e-12
3.49	5.54047e-12
3.5	5.51497e-12
3.51	5.48959e-12
3.52	5.46436e-12
3.53	5.43927e-12
3.54	5.41431e-12
3.55	5.38935e-12
3.56	5.36467e-12
3.57	5.34007e-12
3.58	5.31563e-12
3.59	5.29132e-12
3.6	5.26723e-12
3.61	5.24315e-12
3.62	5.21919e-12
3.63	5.1954e-12
3.64	5.17176e-12
3.65	5.14828e-12
3.66	5.12487e-12
3.67	5.10141e-12
